impianto_id,tipo,zona,ots_giornalieri,ots_totali,reach_univoco,frequency_media,grp,copertura_pct,ic_low_95,ic_high_95,pct_18_34,avvisi
79530,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79531,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79532,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79533,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79534,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79535,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79536,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79537,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79538,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79539,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79540,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79541,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79542,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79543,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79544,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79545,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79546,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79547,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79548,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79549,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79550,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79551,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79552,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79555,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
79562,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79563,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79564,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79565,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79566,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79567,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79568,billboard,108024,484,6781,2907,2.33,94.7,40.6,2404,3385,0.29015544041450775,target=18_34
79569,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79570,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79571,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79572,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79573,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79574,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79575,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79576,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79577,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79578,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79596,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79597,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79598,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79599,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79600,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79601,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79602,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79603,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79604,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79605,billboard,108028,509,7120,3355,2.12,57.8,27.22,2721,3985,0.29015544041450775,target=18_34
79606,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79607,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79608,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79609,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79610,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79611,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79612,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79613,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79614,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79615,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79616,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79617,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79618,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79619,billboard,108033,1477,20681,9737,2.12,58.1,27.35,7900,11563,0.29015544041450775,target=18_34
79629,billboard,108027,484,6781,3124,2.17,66.5,30.61,2546,3693,0.29015544041450775,target=18_34
79630,billboard,108027,484,6781,3124,2.17,66.5,30.61,2546,3693,0.29015544041450775,target=18_34
79631,billboard,108027,484,6781,3124,2.17,66.5,30.61,2546,3693,0.29015544041450775,target=18_34
79643,billboard,097042,775,10849,4856,2.23,77.7,34.78,3981,5705,0.29015544041450775,target=18_34
